"forcename","offencedescription","totaltheftoffenses"
"Hertfordshire","Other theft","53651"
"Sussex","Theft from vehicle","53235"
"Lincolnshire","Shoplifting","53147"
"Greater Manchester","Burglary in a dwelling(outcome only)","52580"
"West Yorkshire","Theft or unauthorised taking of motor vehicle","52366"
"Nottinghamshire","Theft from vehicle","52180"
"Northumbria","Theft from vehicle","51100"
"Hertfordshire","Theft from vehicle","50214"
"Derbyshire","Other theft","50198"
"Cambridgeshire","Other theft","48782"
"Cambridgeshire","Shoplifting","48440"
"Cheshire","Other theft","47621"
"Metropolitan Police","Burglary in a dwelling","47428"
"Greater Manchester","Making off without payment","47362"
"Dorset","Other theft","46829"
"Northamptonshire","Shoplifting","46614"
"Greater Manchester","Theft or unauthorised taking of a pedal cycle","45531"
"Thames Valley","Making off without payment","45292"
"Durham","Shoplifting","44894"
"Surrey","Shoplifting","44136"
"Norfolk","Shoplifting","43961"
"North Yorkshire","Shoplifting","43916"
"Cleveland","Other theft","43891"
"Essex","Theft or unauthorised taking of motor vehicle","43869"
"Greater Manchester","Burglary in a building other than a dwelling (outcome only)","43682"
"North Wales","Shoplifting","43487"
"West Yorkshire","Burglary in a building other than a dwelling (outcome only)","43192"
"West Midlands","Interfering with a motor vehicle","43003"
"South Yorkshire","Burglary Residential","42463"
"West Yorkshire","Theft from the person","42372"
"Dorset","Shoplifting","41201"
"Northamptonshire","Other theft","41104"
"Bedfordshire","Shoplifting","40546"
"Cambridgeshire","Theft or unauthorised taking of a pedal cycle","40408"
"Bedfordshire","Theft from vehicle","40357"
"West Midlands","Burglary in a dwelling(outcome only)","40311"
"Northamptonshire","Theft from vehicle","39877"
"Cambridgeshire","Theft from vehicle","39685"
"Suffolk","Shoplifting","39679"
"Norfolk","Other theft","39325"
"Wiltshire","Shoplifting","39211"
"Surrey","Theft from vehicle","39084"
"West Mercia","Theft from vehicle","38974"
"Lincolnshire","Other theft","38921"
"Metropolitan Police","Attempted burglary in a dwelling (outcome only)","38808"
"West Midlands","Burglary in a building other than a dwelling (outcome only)","37493"
"Hampshire","Theft or unauthorised taking of a pedal cycle","37255"
"Derbyshire","Theft from vehicle","36752"
"West Midlands","Theft from the person","36553"
"North Yorkshire","Other theft","36420"
"West Yorkshire","Burglary in a dwelling(outcome only)","36387"
"North Wales","Other theft","35754"
"Gloucestershire","Shoplifting","35617"
"Gwent","Shoplifting","35536"
"Warwickshire","Other theft","35495"
"Devon and Cornwall","Theft from vehicle","35491"
"Bedfordshire","Other theft","34951"
"West Yorkshire","Making off without payment","34714"
"Gwent","Other theft","34600"
"Thames Valley","Theft from the person","34588"
"Durham","Other theft","34539"
"Suffolk","Other theft","34311"
"West Yorkshire","Theft in a dwelling other than from an automatic machine or meter","33947"
"Dorset","Theft from vehicle","33876"
"Greater Manchester","Burglary Business and Community","33694"
"South Yorkshire","Theft or unauthorised taking of motor vehicle","33561"
"Avon and Somerset","Theft or unauthorised taking of a pedal cycle","33459"
"Lancashire","Burglary Residential","33287"
"Hampshire","Burglary Residential","33223"
"West Midlands","Theft or unauthorised taking of a pedal cycle","32691"
"Humberside","Theft from vehicle","32499"
"Greater Manchester","Theft in a dwelling other than from an automatic machine or meter","32390"
"Greater Manchester","Interfering with a motor vehicle","32291"
"Staffordshire","Theft from vehicle","32281"
"Gloucestershire","Other theft","31947"
"Warwickshire","Shoplifting","31755"
"Essex","Burglary Residential","31647"
"West Midlands","Burglary Business and Community","31354"
"Thames Valley","Burglary Residential","31270"
"Wiltshire","Other theft","30795"
"West Yorkshire","Interfering with a motor vehicle","30786"
"Kent","Theft or unauthorised taking of motor vehicle","30714"
"Merseyside","Burglary Residential","30607"
"Kent","Burglary Residential","29814"
"Thames Valley","Theft or unauthorised taking of motor vehicle","29337"
"Warwickshire","Theft from vehicle","29282"
"Merseyside","Theft or unauthorised taking of motor vehicle","28338"
"Metropolitan Police","Burglary in a building other than a dwelling","28093"
"Cheshire","Theft from vehicle","27675"
"Avon and Somerset","Burglary Residential","27620"
"Greater Manchester","Attempted Burglary Residential","27331"
"West Yorkshire","Burglary Business and Community","26871"
"Sussex","Theft or unauthorised taking of a pedal cycle","26629"
"Northumbria","Burglary Residential","26608"
"Cumbria","Shoplifting","26329"
"Hampshire","Burglary in a building other than a dwelling (outcome only)","25245"
"Lancashire","Burglary in a building other than a dwelling (outcome only)","25049"
"Cleveland","Theft from vehicle","24829"
"West Yorkshire","Theft or unauthorised taking of a pedal cycle","24795"
"West Midlands","Theft in a dwelling other than from an automatic machine or meter","24607"
"Avon and Somerset","Theft or unauthorised taking of motor vehicle","24478"
"Humberside","Burglary Residential","24359"
"South Yorkshire","Burglary in a building other than a dwelling (outcome only)","24255"
"Northumbria","Making off without payment","24116"
"Kent","Burglary in a building other than a dwelling (outcome only)","24007"
"Metropolitan Police","Blackmail","23632"
"Suffolk","Theft from vehicle","23622"
"Thames Valley","Burglary in a building other than a dwelling (outcome only)","23568"
"Hampshire","Theft or unauthorised taking of motor vehicle","23425"
"Essex","Theft or unauthorised taking of a pedal cycle","23403"
"Humberside","Theft or unauthorised taking of a pedal cycle","23346"
"West Midlands","Attempted Burglary Residential","23305"
"British Transport Police","Shoplifting","22967"
"Gloucestershire","Theft from vehicle","22849"
"Leicestershire","Burglary Residential","22704"
"Lancashire","Theft or unauthorised taking of motor vehicle","22677"
"Merseyside","Theft from the person","22617"
"South Yorkshire","Interfering with a motor vehicle","22411"
"South Yorkshire","Burglary in a dwelling(outcome only)","22110"
"Avon and Somerset","Burglary in a building other than a dwelling (outcome only)","22090"
"Essex","Burglary in a dwelling(outcome only)","22088"
"Nottinghamshire","Burglary Residential","21975"
"Leicestershire","Theft or unauthorised taking of a pedal cycle","21881"
"Gwent","Theft from vehicle","21719"
"Hertfordshire","Making off without payment","21712"
"Cumbria","Other theft","21667"
"Essex","Burglary in a building other than a dwelling (outcome only)","21606"
"South Wales","Theft or unauthorised taking of a pedal cycle","21233"
"Merseyside","Burglary in a dwelling(outcome only)","21145"
"West Mercia","Burglary Residential","20992"
"Humberside","Burglary in a building other than a dwelling (outcome only)","20976"
"Northumbria","Theft or unauthorised taking of a pedal cycle","20929"
"South Wales","Theft or unauthorised taking of motor vehicle","20915"
"Dyfed-Powys","Other theft","20672"
"Lincolnshire","Theft from vehicle","20527"
"Merseyside","Theft or unauthorised taking of a pedal cycle","20396"
"Nottinghamshire","Theft or unauthorised taking of a pedal cycle","20282"
"Wiltshire","Theft from vehicle","20152"
"Durham","Theft from vehicle","20055"
"Kent","Making off without payment","19772"
"Sussex","Theft or unauthorised taking of motor vehicle","19754"
"West Yorkshire","Attempted Burglary Residential","19651"
"Lancashire","Theft in a dwelling other than from an automatic machine or meter","19650"
"Merseyside","Making off without payment","19516"
"Nottinghamshire","Theft or unauthorised taking of motor vehicle","19131"
"Sussex","Theft from the person","19026"
"Lancashire","Making off without payment","18863"
"Hampshire","Making off without payment","18792"
"Lancashire","Theft or unauthorised taking of a pedal cycle","18783"
"South Yorkshire","Burglary Business and Community","18731"
"Kent","Theft in a dwelling other than from an automatic machine or meter","18716"
"Lancashire","Burglary Business and Community","18697"
"South Yorkshire","Theft in a dwelling other than from an automatic machine or meter","17953"
"Dyfed-Powys","Shoplifting","17864"
"Surrey","Making off without payment","17834"
"Thames Valley","Theft in a dwelling other than from an automatic machine or meter","17831"
"Surrey","Burglary Residential","17715"
"Essex","Making off without payment","17690"
"South Wales","Burglary Residential","17680"
"Sussex","Burglary Residential","17666"
"Kent","Theft or unauthorised taking of a pedal cycle","17640"
"Northumbria","Burglary in a building other than a dwelling (outcome only)","17600"
"Cleveland","Burglary Residential","17566"
"South Yorkshire","Theft from the person","17507"
"Lancashire","Burglary in a dwelling(outcome only)","17281"
"London, City of","Other theft","17172"
"West Mercia","Burglary in a building other than a dwelling (outcome only)","17159"
"Merseyside","Burglary in a building other than a dwelling (outcome only)","16993"
"Hertfordshire","Burglary Residential","16955"
"Essex","Interfering with a motor vehicle","16912"
"Hampshire","Theft in a dwelling other than from an automatic machine or meter","16838"
"Derbyshire","Burglary Residential","16700"
"Leicestershire","Theft or unauthorised taking of motor vehicle","16676"
"Kent","Burglary in a dwelling(outcome only)","16588"
"Hertfordshire","Theft or unauthorised taking of motor vehicle","16584"
"Norfolk","Theft from vehicle","16445"
"South Wales","Burglary in a building other than a dwelling (outcome only)","16431"
"Hampshire","Burglary Business and Community","16399"
"Northumbria","Theft or unauthorised taking of motor vehicle","16378"
"Leicestershire","Making off without payment","16368"
"Metropolitan Police","Theft by an employee","16335"
"Thames Valley","Burglary Business and Community","16283"
"Northumbria","Theft in a dwelling other than from an automatic machine or meter","16166"
"Staffordshire","Theft or unauthorised taking of motor vehicle","16110"
"Kent","Interfering with a motor vehicle","15930"
"Sussex","Burglary in a building other than a dwelling (outcome only)","15917"
"South Yorkshire","Making off without payment","15899"
"Humberside","Theft in a dwelling other than from an automatic machine or meter","15859"
"Essex","Theft from the person","15787"
"Thames Valley","Burglary in a dwelling(outcome only)","15682"
"Nottinghamshire","Burglary in a building other than a dwelling (outcome only)","15548"
"Thames Valley","Interfering with a motor vehicle","15309"
"Avon and Somerset","Burglary in a dwelling(outcome only)","15264"
"Cambridgeshire","Burglary Residential","15175"
"Hampshire","Interfering with a motor vehicle","15170"
"North Yorkshire","Theft from vehicle","15075"
"Cheshire","Theft or unauthorised taking of a pedal cycle","15063"
"Staffordshire","Burglary Residential","14849"
"Essex","Theft in a dwelling other than from an automatic machine or meter","14827"
"Leicestershire","Burglary in a dwelling(outcome only)","14788"
"Avon and Somerset","Making off without payment","14724"
"Hertfordshire","Theft or unauthorised taking of a pedal cycle","14626"
"Staffordshire","Making off without payment","14578"
"Sussex","Theft in a dwelling other than from an automatic machine or meter","14396"
"Leicestershire","Burglary in a building other than a dwelling (outcome only)","14336"
"South Wales","Theft in a dwelling other than from an automatic machine or meter","14227"
"Nottinghamshire","Theft from the person","14169"
"Derbyshire","Burglary in a building other than a dwelling (outcome only)","14058"
"Hampshire","Theft from the person","14046"
"Dorset","Theft or unauthorised taking of a pedal cycle","13999"
"Bedfordshire","Burglary Residential","13978"
"Devon and Cornwall","Theft in a dwelling other than from an automatic machine or meter","13943"
"Avon and Somerset","Theft from the person","13913"
"Humberside","Theft or unauthorised taking of motor vehicle","13903"
"Sussex","Making off without payment","13898"
"Surrey","Theft or unauthorised taking of motor vehicle","13708"
"Lancashire","Interfering with a motor vehicle","13627"
"Northumbria","Burglary Business and Community","13584"
"South Yorkshire","Theft or unauthorised taking of a pedal cycle","13565"
"Cheshire","Burglary Residential","13537"
"Avon and Somerset","Burglary Business and Community","13485"
"Norfolk","Theft or unauthorised taking of a pedal cycle","13467"
"Essex","Burglary Business and Community","13450"
"Gloucestershire","Burglary Residential","13432"
"South Wales","Theft from the person","13424"
"West Mercia","Making off without payment","13368"
"North Yorkshire","Theft or unauthorised taking of a pedal cycle","13330"
"Avon and Somerset","Interfering with a motor vehicle","13299"
"Surrey","Theft or unauthorised taking of a pedal cycle","13231"
"Devon and Cornwall","Burglary Business and Community","13197"
"Devon and Cornwall","Burglary in a building other than a dwelling (outcome only)","13176"
"South Wales","Making off without payment","13147"
"Nottinghamshire","Making off without payment","13048"
"Hertfordshire","Theft from the person","12941"
"Northamptonshire","Burglary Residential","12925"
"Cambridgeshire","Making off without payment","12903"
"Derbyshire","Theft or unauthorised taking of motor vehicle","12903"
"Lincolnshire","Burglary Residential","12835"
"Kent","Burglary Business and Community","12818"
"Sussex","Burglary Business and Community","12715"
"North Wales","Theft from vehicle","12625"
"Nottinghamshire","Burglary in a dwelling(outcome only)","12616"
"Greater Manchester","Burglary in a dwelling","12605"
"Avon and Somerset","Theft in a dwelling other than from an automatic machine or meter","12589"
"Humberside","Burglary in a dwelling(outcome only)","12486"
"Metropolitan Police","Attempted burglary in a building other than a dwelling (outcome only)","12466"
"Durham","Burglary Residential","12346"
"Lincolnshire","Theft or unauthorised taking of a pedal cycle","12274"
"Hertfordshire","Interfering with a motor vehicle","12231"
"Bedfordshire","Theft or unauthorised taking of motor vehicle","12224"
"Hampshire","Burglary in a dwelling(outcome only)","12212"
"West Mercia","Theft or unauthorised taking of motor vehicle","12051"
"Metropolitan Police","Attempted burglary in a dwelling","11979"
"Lancashire","Theft from the person","11909"
"West Yorkshire","Attempted burglary in a dwelling (outcome only)","11891"
"Metropolitan Police","Attempted Burglary Business and Community","11873"
"Dorset","Burglary in a building other than a dwelling (outcome only)","11806"
"Lincolnshire","Burglary in a building other than a dwelling (outcome only)","11786"
"Greater Manchester","Attempted burglary in a dwelling (outcome only)","11687"
"Cheshire","Burglary in a building other than a dwelling (outcome only)","11681"
"Northamptonshire","Burglary in a building other than a dwelling (outcome only)","11645"
"West Yorkshire","Burglary in a building other than a dwelling","11633"
"Staffordshire","Burglary in a building other than a dwelling (outcome only)","11631"
"Devon and Cornwall","Theft or unauthorised taking of motor vehicle","11626"
"Cheshire","Making off without payment","11608"
"Kent","Theft from the person","11600"
"West Mercia","Theft or unauthorised taking of a pedal cycle","11482"
"South Yorkshire","Attempted Burglary Residential","11323"
"Suffolk","Theft or unauthorised taking of a pedal cycle","11265"
"Greater Manchester","Burglary in a building other than a dwelling","11259"
"Metropolitan Police","Theft of mail","11247"
"Surrey","Burglary in a building other than a dwelling (outcome only)","11090"
"South Wales","Burglary in a dwelling(outcome only)","11076"
"West Midlands","Burglary in a dwelling","11011"
"Staffordshire","Theft or unauthorised taking of a pedal cycle","10902"
"Cambridgeshire","Burglary in a building other than a dwelling (outcome only)","10854"
"Northumbria","Burglary in a dwelling(outcome only)","10800"
"Merseyside","Burglary Business and Community","10771"
"Warwickshire","Burglary Residential","10756"
"Leicestershire","Theft from the person","10750"
"Leicestershire","Burglary Business and Community","10695"
"Northumbria","Theft from the person","10663"
"Devon and Cornwall","Burglary Residential","10603"
"Bedfordshire","Theft or unauthorised taking of a pedal cycle","10472"
"Merseyside","Theft in a dwelling other than from an automatic machine or meter","10416"
"Northumbria","Interfering with a motor vehicle","10397"
"Derbyshire","Theft or unauthorised taking of a pedal cycle","10382"
"Nottinghamshire","Burglary Business and Community","10286"
"Dorset","Burglary Residential","10252"
"West Mercia","Theft in a dwelling other than from an automatic machine or meter","10247"
"Sussex","Burglary in a dwelling(outcome only)","10219"
"Cambridgeshire","Theft or unauthorised taking of motor vehicle","10210"
"Hertfordshire","Burglary in a building other than a dwelling (outcome only)","10133"
"Cleveland","Theft or unauthorised taking of a pedal cycle","10087"
"Staffordshire","Theft in a dwelling other than from an automatic machine or meter","10087"
"Gloucestershire","Theft or unauthorised taking of a pedal cycle","10036"
"West Yorkshire","Burglary in a dwelling","10022"
"Cheshire","Theft or unauthorised taking of motor vehicle","9964"
"Merseyside","Interfering with a motor vehicle","9873"
"British Transport Police","Theft from vehicle","9792"
"Suffolk","Burglary Residential","9784"
"West Midlands","Burglary in a building other than a dwelling","9762"
"Gwent","Burglary Residential","9746"
"Devon and Cornwall","Theft or unauthorised taking of a pedal cycle","9717"
"Nottinghamshire","Theft in a dwelling other than from an automatic machine or meter","9659"
"Derbyshire","Making off without payment","9623"
"South Wales","Burglary Business and Community","9612"
"West Mercia","Burglary Business and Community","9604"
"Northamptonshire","Theft or unauthorised taking of motor vehicle","9559"
"Devon and Cornwall","Making off without payment","9540"
"Bedfordshire","Making off without payment","9517"
"Metropolitan Police","Aggravated vehicle taking","9504"
"Humberside","Burglary Business and Community","9499"
"Cambridgeshire","Theft from the person","9462"
"North Wales","Burglary Residential","9396"
"Durham","Burglary in a building other than a dwelling (outcome only)","9382"
"Devon and Cornwall","Burglary in a dwelling(outcome only)","9350"
"West Mercia","Burglary in a dwelling(outcome only)","9287"
"Norfolk","Burglary Residential","9287"
"Cleveland","Theft in a dwelling other than from an automatic machine or meter","9241"
"Warwickshire","Theft or unauthorised taking of motor vehicle","9221"
"Cleveland","Burglary in a building other than a dwelling (outcome only)","9204"
"Northamptonshire","Theft or unauthorised taking of a pedal cycle","9190"
"Hertfordshire","Burglary in a dwelling(outcome only)","9158"
"Humberside","Making off without payment","9155"
"Derbyshire","Burglary in a dwelling(outcome only)","9068"
"South Wales","Interfering with a motor vehicle","9045"
"Gloucestershire","Burglary in a building other than a dwelling (outcome only)","9039"
"North Yorkshire","Burglary Residential","8978"
"Bedfordshire","Burglary in a dwelling(outcome only)","8958"
"North Yorkshire","Burglary in a building other than a dwelling (outcome only)","8952"
"West Midlands","Attempted burglary in a dwelling (outcome only)","8950"
"Nottinghamshire","Interfering with a motor vehicle","8944"
"Northamptonshire","Interfering with a motor vehicle","8890"
"Surrey","Burglary in a dwelling(outcome only)","8838"
"Derbyshire","Interfering with a motor vehicle","8788"
"Wiltshire","Burglary in a building other than a dwelling (outcome only)","8758"
"Sussex","Interfering with a motor vehicle","8734"
"Devon and Cornwall","Theft from the person","8677"
"Wiltshire","Theft or unauthorised taking of a pedal cycle","8610"
"Northamptonshire","Burglary Business and Community","8561"
"Kent","Attempted Burglary Residential","8533"
"Staffordshire","Burglary in a dwelling(outcome only)","8524"
"Suffolk","Burglary in a building other than a dwelling (outcome only)","8504"
"Cambridgeshire","Burglary Business and Community","8489"
"Humberside","Interfering with a motor vehicle","8422"
"Staffordshire","Burglary Business and Community","8367"
"Gwent","Burglary in a building other than a dwelling (outcome only)","8360"
"Cleveland","Theft or unauthorised taking of motor vehicle","8310"
"Derbyshire","Theft in a dwelling other than from an automatic machine or meter","8269"
"West Mercia","Interfering with a motor vehicle","8255"
"Gwent","Theft or unauthorised taking of motor vehicle","8247"
"Northamptonshire","Burglary in a dwelling(outcome only)","8224"
"West Yorkshire","Attempted burglary in a building other than a dwelling (outcome only)","8194"
"Cheshire","Theft in a dwelling other than from an automatic machine or meter","8160"
"Merseyside","Attempted Burglary Residential","8154"
"Wiltshire","Burglary Residential","8135"
"Hertfordshire","Theft in a dwelling other than from an automatic machine or meter","8112"
"Norfolk","Theft in a dwelling other than from an automatic machine or meter","8060"
"Hertfordshire","Burglary Business and Community","7974"
"Dorset","Theft or unauthorised taking of motor vehicle","7894"
"Cambridgeshire","Burglary in a dwelling(outcome only)","7866"
"London, City of","Shoplifting","7850"
"Bedfordshire","Interfering with a motor vehicle","7796"
"Thames Valley","Burglary in a building other than a dwelling","7793"
"West Midlands","Blackmail","7737"
"Warwickshire","Burglary in a building other than a dwelling (outcome only)","7597"
"Norfolk","Burglary in a building other than a dwelling (outcome only)","7547"
"Durham","Theft or unauthorised taking of motor vehicle","7531"
"Cheshire","Theft from the person","7508"
"Cumbria","Theft from vehicle","7507"
"Surrey","Interfering with a motor vehicle","7497"
"Leicestershire","Theft in a dwelling other than from an automatic machine or meter","7489"
"Essex","Attempted Burglary Residential","7468"
"Derbyshire","Burglary Business and Community","7436"
"South Yorkshire","Burglary in a building other than a dwelling","7422"
"Cheshire","Burglary in a dwelling(outcome only)","7396"
"Gloucestershire","Burglary in a dwelling(outcome only)","7384"
"Cleveland","Burglary in a dwelling(outcome only)","7351"
"Dorset","Burglary Business and Community","7301"
"Cambridgeshire","Theft in a dwelling other than from an automatic machine or meter","7294"
"Warwickshire","Interfering with a motor vehicle","7247"
"Suffolk","Theft in a dwelling other than from an automatic machine or meter","7218"
"Greater Manchester","Blackmail","7153"
"Northamptonshire","Theft in a dwelling other than from an automatic machine or meter","7147"
"Warwickshire","Theft or unauthorised taking of a pedal cycle","7140"
"Thames Valley","Attempted Burglary Residential","7106"
"Bedfordshire","Burglary in a building other than a dwelling (outcome only)","7105"
"Dorset","Making off without payment","7053"
"Bedfordshire","Burglary Business and Community","6964"
"London, City of","Theft from the person","6953"
"Derbyshire","Theft from the person","6914"
"Lincolnshire","Theft or unauthorised taking of motor vehicle","6852"
"Greater Manchester","Attempted Burglary Business and Community","6760"
"Greater Manchester","Attempted burglary in a building other than a dwelling (outcome only)","6758"
"Hampshire","Attempted Burglary Residential","6703"
"South Yorkshire","Burglary in a dwelling","6671"
"Lancashire","Burglary in a building other than a dwelling","6669"
"West Mercia","Theft from the person","6632"
"Wiltshire","Making off without payment","6571"
"Cleveland","Interfering with a motor vehicle","6465"
"Essex","Burglary in a dwelling","6394"
"Staffordshire","Interfering with a motor vehicle","6385"
"Northamptonshire","Theft from the person","6384"
"Cleveland","Making off without payment","6373"
"North Wales","Making off without payment","6334"
"Lincolnshire","Burglary Business and Community","6316"
"Cleveland","Burglary Business and Community","6263"
"Norfolk","Theft or unauthorised taking of motor vehicle","6236"
"Gloucestershire","Making off without payment","6231"
"Lancashire","Attempted Burglary Residential","6226"
"Gwent","Theft in a dwelling other than from an automatic machine or meter","6217"
"Durham","Making off without payment","6202"
"North Yorkshire","Burglary Business and Community","6149"
"Kent","Burglary in a building other than a dwelling","6131"
"Humberside","Theft from the person","6122"
"Avon and Somerset","Attempted Burglary Residential","6101"
"Durham","Theft in a dwelling other than from an automatic machine or meter","6069"
"Lincolnshire","Theft in a dwelling other than from an automatic machine or meter","6052"
"West Yorkshire","Blackmail","6049"
"Hampshire","Burglary in a building other than a dwelling","6047"
"Gloucestershire","Burglary Business and Community","6034"
"Bedfordshire","Theft from the person","5987"
"Surrey","Burglary Business and Community","5969"
"Surrey","Theft in a dwelling other than from an automatic machine or meter","5913"
"Leicestershire","Interfering with a motor vehicle","5846"
"Norfolk","Making off without payment","5827"
"Avon and Somerset","Burglary in a building other than a dwelling","5805"
"Lincolnshire","Burglary in a dwelling(outcome only)","5799"
"Humberside","Attempted Burglary Residential","5799"
"Durham","Burglary Business and Community","5761"
"Warwickshire","Making off without payment","5721"
"Wiltshire","Theft or unauthorised taking of motor vehicle","5684"
"Thames Valley","Burglary in a dwelling","5659"
"Essex","Attempted burglary in a dwelling (outcome only)","5648"
"Suffolk","Theft or unauthorised taking of motor vehicle","5644"
"South Yorkshire","Attempted burglary in a dwelling (outcome only)","5618"
"North Yorkshire","Theft or unauthorised taking of motor vehicle","5608"
"Dorset","Theft from the person","5597"
"Northamptonshire","Making off without payment","5597"
"Gloucestershire","Theft or unauthorised taking of motor vehicle","5596"
"Durham","Theft or unauthorised taking of a pedal cycle","5593"
"Essex","Burglary in a building other than a dwelling","5582"
"Cheshire","Burglary Business and Community","5579"
"Bedfordshire","Theft in a dwelling other than from an automatic machine or meter","5572"
"Dyfed-Powys","Theft from vehicle","5571"
"Merseyside","Burglary in a dwelling","5563"
"West Midlands","Attempted burglary in a building other than a dwelling (outcome only)","5532"
"North Yorkshire","Theft in a dwelling other than from an automatic machine or meter","5506"
"Thames Valley","Attempted burglary in a building other than a dwelling (outcome only)","5351"
"Gwent","Burglary in a dwelling(outcome only)","5323"
"Staffordshire","Theft from the person","5303"
"North Wales","Theft in a dwelling other than from an automatic machine or meter","5299"
"Suffolk","Burglary Business and Community","5291"
"West Yorkshire","Attempted Burglary Business and Community","5261"
"Cumbria","Burglary Residential","5246"
"North Wales","Theft or unauthorised taking of a pedal cycle","5237"
"Thames Valley","Theft by an employee","5225"
"Kent","Burglary in a dwelling","5158"
"Humberside","Burglary in a building other than a dwelling","5152"
"Sussex","Burglary in a building other than a dwelling","5125"
"Dorset","Burglary in a dwelling(outcome only)","5112"
"Warwickshire","Burglary in a dwelling(outcome only)","5089"
"Surrey","Theft from the person","5063"
"North Wales","Theft or unauthorised taking of motor vehicle","5038"
"Norfolk","Burglary Business and Community","5009"
"Norfolk","Theft from the person","4987"
"Wiltshire","Theft in a dwelling other than from an automatic machine or meter","4978"
"Thames Valley","Blackmail","4977"
"Warwickshire","Burglary Business and Community","4930"
"North Wales","Burglary in a dwelling(outcome only)","4929"
"Kent","Blackmail","4928"
"Durham","Burglary in a dwelling(outcome only)","4911"
"North Yorkshire","Making off without payment","4889"
"North Yorkshire","Burglary in a dwelling(outcome only)","4847"
"Cambridgeshire","Interfering with a motor vehicle","4847"
"West Midlands","Attempted Burglary Business and Community","4844"
"Greater Manchester","Aggravated vehicle taking","4830"
"West Yorkshire","Theft by an employee","4818"
"South Wales","Burglary in a building other than a dwelling","4817"
"Lincolnshire","Making off without payment","4814"
"Suffolk","Making off without payment","4784"
"Dyfed-Powys","Burglary Residential","4783"
"Cleveland","Theft from the person","4778"
"Wiltshire","Burglary Business and Community","4774"
"Nottinghamshire","Attempted Burglary Residential","4761"
"Gwent","Burglary Business and Community","4725"
"Greater Manchester","Theft by an employee","4717"
"Suffolk","Theft from the person","4671"
