"forcename","offencedescription","totalviolentoffenses"
"British Transport Police","Endangering railway passengers (outcomes only)","0"
"British Transport Police","Causing death by dangerous driving","0"
"British Transport Police","Wounding or carrying out an act endangering life (outcomes only)","0"
"British Transport Police","Causing or allowing death of child or vulnerable person","0"
"British Transport Police","Procuring illegal abortion","0"
"British Transport Police","Use of substance or object to endanger life (outcomes only)","0"
"British Transport Police","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"British Transport Police","Cruelty to and neglect of children (outcomes only)","0"
"British Transport Police","Assaults on emergency workers (other than constables)","0"
"British Transport Police","Possession of items to endanger life(outcomes only)","0"
"British Transport Police","Causing death by driving: unlicensed drivers etc.","0"
"British Transport Police","Actually bodily harm and other injury(outcomes only)","0"
"British Transport Police","Causing death by aggravated vehicle taking","0"
"Cambridgeshire","Assault without injury","77123"
"Cambridgeshire","Assault with injury","46763"
"Cambridgeshire","Threats to kill","6463"
"Cambridgeshire","Assault with intent to cause serious harm","4360"
"Cambridgeshire","Assault without injury on a constable","3736"
"Cambridgeshire","Racially or religiously aggravated assault without injury","1069"
"Cambridgeshire","Cruelty to children/young persons","921"
"Cambridgeshire","Kidnapping","713"
"Cambridgeshire","Harassment","565"
"Cambridgeshire","Assault with injury on a constable","485"
"Cambridgeshire","Racially or religiously aggravated assault with injury","433"
"Cambridgeshire","Modern slavery","375"
"Cambridgeshire","Child abduction","180"
"Cambridgeshire","Attempted murder","164"
"Cambridgeshire","Endangering life","161"
"Cambridgeshire","Assaults on emergency workers (other than constables)","111"
"Cambridgeshire","Conspiracy to murder","27"
"Cambridgeshire","Racially or religiously aggravated harassment","9"
"Cambridgeshire","Causing death by careless or inconsiderate driving","6"
"Cambridgeshire","Causing death by dangerous driving","4"
"Cambridgeshire","Causing or allowing death of child or vulnerable person","4"
"Cambridgeshire","Procuring illegal abortion","3"
"Cambridgeshire","Use of substance or object to endanger life (outcomes only)","0"
"Cambridgeshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Cambridgeshire","Causing death by driving: unlicensed drivers etc.","0"
"Cambridgeshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Cambridgeshire","Poisoning or female genital mutilation (outcomes only)","0"
"Cambridgeshire","Causing death by aggravated vehicle taking","0"
"Cambridgeshire","Causing death by careless driving under influence of drink or drugs","0"
"Cambridgeshire","Cruelty to and neglect of children (outcomes only)","0"
"Cambridgeshire","Endangering railway passengers (outcomes only)","0"
"Cambridgeshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Cambridgeshire","Intentional destruction of a viable unborn child","0"
"Cambridgeshire","Endangering life at sea (outcomes only)","0"
"Cambridgeshire","Possession of items to endanger life(outcomes only)","0"
"Cambridgeshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Cambridgeshire","Actually bodily harm and other injury(outcomes only)","0"
"Cambridgeshire","Abandoning child under two years (outcomes only)","0"
"Cheshire","Assault without injury","97375"
"Cheshire","Assault with injury","87198"
"Cheshire","Assault without injury on a constable","4329"
"Cheshire","Assault with intent to cause serious harm","3966"
"Cheshire","Cruelty to children/young persons","2806"
"Cheshire","Threats to kill","2038"
"Cheshire","Assault with injury on a constable","1304"
"Cheshire","Racially or religiously aggravated assault without injury","830"
"Cheshire","Kidnapping","657"
"Cheshire","Racially or religiously aggravated assault with injury","486"
"Cheshire","Harassment","413"
"Cheshire","Modern slavery","333"
"Cheshire","Assaults on emergency workers (other than constables)","179"
"Cheshire","Attempted murder","146"
"Cheshire","Child abduction","111"
"Cheshire","Endangering life","96"
"Cheshire","Causing or allowing death of child or vulnerable person","11"
"Cheshire","Racially or religiously aggravated harassment","7"
"Cheshire","Conspiracy to murder","6"
"Cheshire","Intentional destruction of a viable unborn child","2"
"Cheshire","Causing death by dangerous driving","2"
"Cheshire","Endangering life at sea (outcomes only)","0"
"Cheshire","Cruelty to and neglect of children (outcomes only)","0"
"Cheshire","Use of substance or object to endanger life (outcomes only)","0"
"Cheshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Cheshire","Procuring illegal abortion","0"
"Cheshire","Poisoning or female genital mutilation (outcomes only)","0"
"Cheshire","Causing death by careless driving under influence of drink or drugs","0"
"Cheshire","Actually bodily harm and other injury(outcomes only)","0"
"Cheshire","Causing death by aggravated vehicle taking","0"
"Cheshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Cheshire","Endangering railway passengers (outcomes only)","0"
"Cheshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Cheshire","Causing death by driving: unlicensed drivers etc.","0"
"Cheshire","Abandoning child under two years (outcomes only)","0"
"Cheshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Cheshire","Possession of items to endanger life(outcomes only)","0"
"Cheshire","Causing death by careless or inconsiderate driving","0"
"Cleveland","Assault without injury","65528"
"Cleveland","Assault with injury","55878"
"Cleveland","Assault without injury on a constable","3421"
"Cleveland","Assault with intent to cause serious harm","3126"
"Cleveland","Threats to kill","1956"
"Cleveland","Cruelty to children/young persons","1374"
"Cleveland","Racially or religiously aggravated assault without injury","897"
"Cleveland","Assault with injury on a constable","722"
"Cleveland","Kidnapping","486"
"Cleveland","Modern slavery","443"
"Cleveland","Racially or religiously aggravated assault with injury","270"
"Cleveland","Harassment","233"
"Cleveland","Assaults on emergency workers (other than constables)","114"
"Cleveland","Endangering life","112"
"Cleveland","Child abduction","110"
"Cleveland","Attempted murder","100"
"Cleveland","Racially or religiously aggravated harassment","13"
"Cleveland","Conspiracy to murder","7"
"Cleveland","Intentional destruction of a viable unborn child","2"
"Cleveland","Causing death by dangerous driving","1"
"Cleveland","Causing or allowing death of child or vulnerable person","1"
"Cleveland","Endangering railway passengers (outcomes only)","0"
"Cleveland","Causing death by careless driving under influence of drink or drugs","0"
"Cleveland","Procuring illegal abortion","0"
"Cleveland","Abandoning child under two years (outcomes only)","0"
"Cleveland","Poisoning or female genital mutilation (outcomes only)","0"
"Cleveland","Actually bodily harm and other injury(outcomes only)","0"
"Cleveland","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Cleveland","Cruelty to and neglect of children (outcomes only)","0"
"Cleveland","Causing death by careless or inconsiderate driving","0"
"Cleveland","Use of substance or object to endanger life (outcomes only)","0"
"Cleveland","Endangering life at sea (outcomes only)","0"
"Cleveland","Causing death by aggravated vehicle taking","0"
"Cleveland","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Cleveland","Possession of items to endanger life(outcomes only)","0"
"Cleveland","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Cleveland","Wounding or carrying out an act endangering life (outcomes only)","0"
"Cleveland","Causing death by driving: unlicensed drivers etc.","0"
"Cumbria","Assault without injury","41145"
"Cumbria","Assault with injury","40420"
"Cumbria","Assault without injury on a constable","2828"
"Cumbria","Cruelty to children/young persons","2208"
"Cumbria","Assault with intent to cause serious harm","1716"
"Cumbria","Threats to kill","671"
"Cumbria","Assault with injury on a constable","517"
"Cumbria","Kidnapping","366"
"Cumbria","Racially or religiously aggravated assault without injury","331"
"Cumbria","Harassment","298"
"Cumbria","Modern slavery","157"
"Cumbria","Racially or religiously aggravated assault with injury","138"
"Cumbria","Assaults on emergency workers (other than constables)","128"
"Cumbria","Child abduction","124"
"Cumbria","Endangering life","80"
"Cumbria","Attempted murder","47"
"Cumbria","Racially or religiously aggravated harassment","8"
"Cumbria","Causing or allowing death of child or vulnerable person","6"
"Cumbria","Causing death by dangerous driving","3"
"Cumbria","Conspiracy to murder","3"
"Cumbria","Causing death by driving: unlicensed drivers etc.","2"
"Cumbria","Intentional destruction of a viable unborn child","1"
"Cumbria","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Cumbria","Cruelty to and neglect of children (outcomes only)","0"
"Cumbria","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Cumbria","Endangering railway passengers (outcomes only)","0"
"Cumbria","Causing death by careless driving under influence of drink or drugs","0"
"Cumbria","Causing death by careless or inconsiderate driving","0"
"Cumbria","Poisoning or female genital mutilation (outcomes only)","0"
"Cumbria","Use of substance or object to endanger life (outcomes only)","0"
"Cumbria","Procuring illegal abortion","0"
"Cumbria","Causing death by aggravated vehicle taking","0"
"Cumbria","Abandoning child under two years (outcomes only)","0"
"Cumbria","Actually bodily harm and other injury(outcomes only)","0"
"Cumbria","Possession of items to endanger life(outcomes only)","0"
"Cumbria","Wounding or carrying out an act endangering life (outcomes only)","0"
"Cumbria","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Cumbria","Endangering life at sea (outcomes only)","0"
"Derbyshire","Assault with injury","80514"
"Derbyshire","Assault without injury","68091"
"Derbyshire","Threats to kill","7578"
"Derbyshire","Assault with intent to cause serious harm","6215"
"Derbyshire","Assault without injury on a constable","3035"
"Derbyshire","Assault with injury on a constable","1091"
"Derbyshire","Cruelty to children/young persons","1028"
"Derbyshire","Harassment","758"
"Derbyshire","Modern slavery","629"
"Derbyshire","Racially or religiously aggravated assault without injury","604"
"Derbyshire","Kidnapping","542"
"Derbyshire","Racially or religiously aggravated assault with injury","452"
"Derbyshire","Endangering life","310"
"Derbyshire","Child abduction","167"
"Derbyshire","Attempted murder","76"
"Derbyshire","Assaults on emergency workers (other than constables)","59"
"Derbyshire","Conspiracy to murder","14"
"Derbyshire","Racially or religiously aggravated harassment","14"
"Derbyshire","Causing or allowing death of child or vulnerable person","8"
"Derbyshire","Intentional destruction of a viable unborn child","3"
"Derbyshire","Causing death by careless or inconsiderate driving","3"
"Derbyshire","Causing death by dangerous driving","2"
"Derbyshire","Procuring illegal abortion","2"
"Derbyshire","Causing death by careless driving under influence of drink or drugs","1"
"Derbyshire","Causing death by driving: unlicensed drivers etc.","0"
"Derbyshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Derbyshire","Poisoning or female genital mutilation (outcomes only)","0"
"Derbyshire","Cruelty to and neglect of children (outcomes only)","0"
"Derbyshire","Causing death by aggravated vehicle taking","0"
"Derbyshire","Use of substance or object to endanger life (outcomes only)","0"
"Derbyshire","Actually bodily harm and other injury(outcomes only)","0"
"Derbyshire","Endangering life at sea (outcomes only)","0"
"Derbyshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Derbyshire","Endangering railway passengers (outcomes only)","0"
"Derbyshire","Possession of items to endanger life(outcomes only)","0"
"Derbyshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Derbyshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Derbyshire","Abandoning child under two years (outcomes only)","0"
"Devon and Cornwall","Assault with injury","140004"
"Devon and Cornwall","Assault without injury","132211"
"Devon and Cornwall","Assault with intent to cause serious harm","8151"
"Devon and Cornwall","Assault without injury on a constable","4844"
"Devon and Cornwall","Cruelty to children/young persons","3407"
"Devon and Cornwall","Threats to kill","2196"
"Devon and Cornwall","Assault with injury on a constable","1161"
"Devon and Cornwall","Racially or religiously aggravated assault without injury","1080"
"Devon and Cornwall","Harassment","1030"
"Devon and Cornwall","Kidnapping","760"
"Devon and Cornwall","Racially or religiously aggravated assault with injury","712"
"Devon and Cornwall","Endangering life","643"
"Devon and Cornwall","Modern slavery","473"
"Devon and Cornwall","Attempted murder","218"
"Devon and Cornwall","Child abduction","194"
"Devon and Cornwall","Assaults on emergency workers (other than constables)","120"
"Devon and Cornwall","Racially or religiously aggravated harassment","17"
"Devon and Cornwall","Conspiracy to murder","15"
"Devon and Cornwall","Causing death by careless or inconsiderate driving","7"
"Devon and Cornwall","Causing or allowing death of child or vulnerable person","6"
"Devon and Cornwall","Causing death by dangerous driving","6"
"Devon and Cornwall","Procuring illegal abortion","3"
"Devon and Cornwall","Causing death by careless driving under influence of drink or drugs","3"
"Devon and Cornwall","Intentional destruction of a viable unborn child","2"
"Devon and Cornwall","Causing death by aggravated vehicle taking","1"
"Devon and Cornwall","Abandoning child under two years (outcomes only)","0"
"Devon and Cornwall","Wounding or carrying out an act endangering life (outcomes only)","0"
"Devon and Cornwall","Endangering life at sea (outcomes only)","0"
"Devon and Cornwall","Possession of items to endanger life(outcomes only)","0"
"Devon and Cornwall","Cruelty to and neglect of children (outcomes only)","0"
"Devon and Cornwall","Use of substance or object to endanger life (outcomes only)","0"
"Devon and Cornwall","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Devon and Cornwall","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Devon and Cornwall","Causing death by driving: unlicensed drivers etc.","0"
"Devon and Cornwall","Endangering railway passengers (outcomes only)","0"
"Devon and Cornwall","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Devon and Cornwall","Poisoning or female genital mutilation (outcomes only)","0"
"Devon and Cornwall","Actually bodily harm and other injury(outcomes only)","0"
"Dorset","Assault without injury","56885"
"Dorset","Assault with injury","54872"
"Dorset","Cruelty to children/young persons","4359"
"Dorset","Threats to kill","2225"
"Dorset","Assault with intent to cause serious harm","1713"
"Dorset","Assault without injury on a constable","1370"
"Dorset","Assault with injury on a constable","494"
"Dorset","Racially or religiously aggravated assault without injury","487"
"Dorset","Modern slavery","409"
"Dorset","Kidnapping","344"
"Dorset","Harassment","269"
"Dorset","Racially or religiously aggravated assault with injury","261"
"Dorset","Endangering life","116"
"Dorset","Attempted murder","64"
"Dorset","Child abduction","63"
"Dorset","Conspiracy to murder","4"
"Dorset","Racially or religiously aggravated harassment","4"
"Dorset","Causing death by careless or inconsiderate driving","3"
"Dorset","Procuring illegal abortion","3"
"Dorset","Causing or allowing death of child or vulnerable person","2"
"Dorset","Intentional destruction of a viable unborn child","1"
"Dorset","Causing death by careless driving under influence of drink or drugs","1"
"Dorset","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Dorset","Wounding or carrying out an act endangering life (outcomes only)","0"
"Dorset","Causing death by driving: unlicensed drivers etc.","0"
"Dorset","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Dorset","Endangering life at sea (outcomes only)","0"
"Dorset","Actually bodily harm and other injury(outcomes only)","0"
"Dorset","Poisoning or female genital mutilation (outcomes only)","0"
"Dorset","Cruelty to and neglect of children (outcomes only)","0"
"Dorset","Use of substance or object to endanger life (outcomes only)","0"
"Dorset","Endangering railway passengers (outcomes only)","0"
"Dorset","Causing death by aggravated vehicle taking","0"
"Dorset","Abandoning child under two years (outcomes only)","0"
"Dorset","Possession of items to endanger life(outcomes only)","0"
"Dorset","Assaults on emergency workers (other than constables)","0"
"Dorset","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Dorset","Causing death by dangerous driving","0"
"Durham","Assault without injury","58000"
"Durham","Assault with injury","49968"
"Durham","Assault without injury on a constable","3740"
"Durham","Threats to kill","3117"
"Durham","Cruelty to children/young persons","2313"
"Durham","Assault with intent to cause serious harm","2036"
"Durham","Assault with injury on a constable","693"
"Durham","Modern slavery","434"
"Durham","Kidnapping","422"
"Durham","Racially or religiously aggravated assault without injury","341"
"Durham","Harassment","332"
"Durham","Racially or religiously aggravated assault with injury","184"
"Durham","Child abduction","111"
"Durham","Assaults on emergency workers (other than constables)","73"
"Durham","Attempted murder","64"
"Durham","Endangering life","58"
"Durham","Causing or allowing death of child or vulnerable person","10"
"Durham","Racially or religiously aggravated harassment","9"
"Durham","Conspiracy to murder","5"
"Durham","Intentional destruction of a viable unborn child","4"
"Durham","Procuring illegal abortion","2"
"Durham","Causing death by dangerous driving","1"
"Durham","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Durham","Poisoning or female genital mutilation (outcomes only)","0"
"Durham","Actually bodily harm and other injury(outcomes only)","0"
"Durham","Use of substance or object to endanger life (outcomes only)","0"
"Durham","Causing death by driving: unlicensed drivers etc.","0"
"Durham","Endangering life at sea (outcomes only)","0"
"Durham","Causing death by careless driving under influence of drink or drugs","0"
"Durham","Endangering railway passengers (outcomes only)","0"
"Durham","Causing death by careless or inconsiderate driving","0"
"Durham","Causing death by aggravated vehicle taking","0"
"Durham","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Durham","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Durham","Abandoning child under two years (outcomes only)","0"
"Durham","Possession of items to endanger life(outcomes only)","0"
"Durham","Cruelty to and neglect of children (outcomes only)","0"
"Durham","Wounding or carrying out an act endangering life (outcomes only)","0"
"Dyfed-Powys","Assault without injury","38656"
"Dyfed-Powys","Assault with injury","32151"
"Dyfed-Powys","Threats to kill","4948"
"Dyfed-Powys","Cruelty to children/young persons","1949"
"Dyfed-Powys","Assault without injury on a constable","1911"
"Dyfed-Powys","Assault with intent to cause serious harm","1355"
"Dyfed-Powys","Endangering life","610"
"Dyfed-Powys","Assault with injury on a constable","590"
"Dyfed-Powys","Racially or religiously aggravated assault without injury","242"
"Dyfed-Powys","Modern slavery","163"
"Dyfed-Powys","Kidnapping","122"
"Dyfed-Powys","Harassment","120"
"Dyfed-Powys","Racially or religiously aggravated assault with injury","113"
"Dyfed-Powys","Child abduction","97"
"Dyfed-Powys","Assaults on emergency workers (other than constables)","43"
"Dyfed-Powys","Attempted murder","29"
"Dyfed-Powys","Conspiracy to murder","7"
"Dyfed-Powys","Causing death by careless or inconsiderate driving","4"
"Dyfed-Powys","Procuring illegal abortion","1"
"Dyfed-Powys","Causing death by dangerous driving","1"
"Dyfed-Powys","Causing death by careless driving under influence of drink or drugs","0"
"Dyfed-Powys","Racially or religiously aggravated harassment","0"
"Dyfed-Powys","Intentional destruction of a viable unborn child","0"
"Dyfed-Powys","Wounding or carrying out an act endangering life (outcomes only)","0"
"Dyfed-Powys","Cruelty to and neglect of children (outcomes only)","0"
"Dyfed-Powys","Causing or allowing death of child or vulnerable person","0"
"Dyfed-Powys","Endangering railway passengers (outcomes only)","0"
"Dyfed-Powys","Abandoning child under two years (outcomes only)","0"
"Dyfed-Powys","Use of substance or object to endanger life (outcomes only)","0"
"Dyfed-Powys","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Dyfed-Powys","Causing death by driving: unlicensed drivers etc.","0"
"Dyfed-Powys","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Dyfed-Powys","Possession of items to endanger life(outcomes only)","0"
"Dyfed-Powys","Poisoning or female genital mutilation (outcomes only)","0"
"Dyfed-Powys","Causing death by aggravated vehicle taking","0"
"Dyfed-Powys","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Dyfed-Powys","Actually bodily harm and other injury(outcomes only)","0"
"Dyfed-Powys","Endangering life at sea (outcomes only)","0"
"Essex","Assault without injury","177986"
"Essex","Assault with injury","131486"
"Essex","Assault with intent to cause serious harm","10769"
"Essex","Threats to kill","8169"
"Essex","Assault without injury on a constable","8157"
"Essex","Cruelty to children/young persons","6456"
"Essex","Racially or religiously aggravated assault without injury","2272"
"Essex","Modern slavery","1639"
"Essex","Assault with injury on a constable","1548"
"Essex","Kidnapping","1491"
"Essex","Harassment","1478"
"Essex","Racially or religiously aggravated assault with injury","868"
"Essex","Attempted murder","350"
"Essex","Assaults on emergency workers (other than constables)","201"
"Essex","Endangering life","176"
"Essex","Child abduction","169"
"Essex","Conspiracy to murder","23"
"Essex","Racially or religiously aggravated harassment","10"
"Essex","Intentional destruction of a viable unborn child","8"
"Essex","Causing death by dangerous driving","6"
"Essex","Causing or allowing death of child or vulnerable person","6"
"Essex","Causing death by careless or inconsiderate driving","3"
"Essex","Procuring illegal abortion","2"
"Essex","Causing death by careless driving under influence of drink or drugs","1"
"Essex","Causing death by driving: unlicensed drivers etc.","1"
"Essex","Use of substance or object to endanger life (outcomes only)","0"
"Essex","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Essex","Causing death by aggravated vehicle taking","0"
"Essex","Endangering railway passengers (outcomes only)","0"
"Essex","Wounding or carrying out an act endangering life (outcomes only)","0"
"Essex","Poisoning or female genital mutilation (outcomes only)","0"
"Essex","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Essex","Abandoning child under two years (outcomes only)","0"
"Essex","Endangering life at sea (outcomes only)","0"
"Essex","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Essex","Cruelty to and neglect of children (outcomes only)","0"
"Essex","Actually bodily harm and other injury(outcomes only)","0"
"Essex","Possession of items to endanger life(outcomes only)","0"
"Gloucestershire","Assault with injury","47301"
"Gloucestershire","Assault without injury","32252"
"Gloucestershire","Cruelty to children/young persons","3969"
"Gloucestershire","Threats to kill","2655"
"Gloucestershire","Assault with intent to cause serious harm","2265"
"Gloucestershire","Assault with injury on a constable","742"
"Gloucestershire","Assault without injury on a constable","579"
"Gloucestershire","Racially or religiously aggravated assault without injury","466"
"Gloucestershire","Kidnapping","425"
"Gloucestershire","Racially or religiously aggravated assault with injury","291"
"Gloucestershire","Modern slavery","259"
"Gloucestershire","Harassment","139"
"Gloucestershire","Endangering life","134"
"Gloucestershire","Child abduction","94"
"Gloucestershire","Attempted murder","73"
"Gloucestershire","Conspiracy to murder","17"
"Gloucestershire","Racially or religiously aggravated harassment","10"
"Gloucestershire","Intentional destruction of a viable unborn child","3"
"Gloucestershire","Causing or allowing death of child or vulnerable person","3"
"Gloucestershire","Procuring illegal abortion","2"
"Gloucestershire","Causing death by careless or inconsiderate driving","1"
"Gloucestershire","Causing death by driving: unlicensed drivers etc.","0"
"Gloucestershire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Gloucestershire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Gloucestershire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Gloucestershire","Endangering railway passengers (outcomes only)","0"
"Gloucestershire","Actually bodily harm and other injury(outcomes only)","0"
"Gloucestershire","Use of substance or object to endanger life (outcomes only)","0"
"Gloucestershire","Causing death by careless driving under influence of drink or drugs","0"
"Gloucestershire","Possession of items to endanger life(outcomes only)","0"
"Gloucestershire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Gloucestershire","Endangering life at sea (outcomes only)","0"
"Gloucestershire","Assaults on emergency workers (other than constables)","0"
"Gloucestershire","Causing death by aggravated vehicle taking","0"
"Gloucestershire","Causing death by dangerous driving","0"
"Gloucestershire","Cruelty to and neglect of children (outcomes only)","0"
